cookie,Image,Color_mean,Color_SD,Folder,Date,Site,Tank_color,Temperature,Bag_number,Project,Country,SITE,Latitude,Longitude,Species,Genotype,Condition,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Color_mean_inverted
1,IMG_4708.jpg,6.786,0.414,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,18,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,1,wild,0.665,420,11_AHYA_1,29,44,8.8392,13.4112,248.214
2,IMG_4708.jpg,4.494,0.728,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,16,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,2,wild,0.601,420,11_AHYA_2,29,44,8.8392,13.4112,250.506
3,IMG_4708.jpg,7.531,0.396,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,17,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,1,wild,0.656,420,11_AABR_1,29,44,8.8392,13.4112,247.469
4,IMG_4708.jpg,6.617,0.654,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,21,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,2,wild,0.654,420,11_AABR_2,29,44,8.8392,13.4112,248.383
5,IMG_4708.jpg,7.182,0.838,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,10,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,1,wild,0.63,420,11_ICRA_1,29,44,8.8392,13.4112,247.818
6,IMG_4708.jpg,6.233,0.619,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,20,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,2,wild,0.658,420,11_ICRA_2,29,44,8.8392,13.4112,248.767
7,IMG_4708.jpg,7.281,0.867,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,19,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,3,wild,0.626,420,11_ICRA_3,29,44,8.8392,13.4112,247.719
8,IMG_4708.jpg,7.037,0.591,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,29,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,4,wild,0.615,420,11_ICRA_4,29,44,8.8392,13.4112,247.963
9,IMG_4708.jpg,6.87,0.682,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,26,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,5,wild,0.631,420,11_ICRA_5,29,44,8.8392,13.4112,248.13
10,IMG_4708.jpg,6.606,0.619,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,4,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,6,wild,0.612,420,11_ICRA_6,29,44,8.8392,13.4112,248.394
11,IMG_4708.jpg,7.666,0.352,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,28,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,7,wild,0.636,420,11_ICRA_7,29,44,8.8392,13.4112,247.334
12,IMG_4708.jpg,7.492,0.284,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,27,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,8,wild,0.62,420,11_ICRA_8,29,44,8.8392,13.4112,247.508
13,IMG_4708.jpg,7.679,0.311,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,23,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,1,wild,0.665,420,11_AGLO_1,29,44,8.8392,13.4112,247.321
14,IMG_4708.jpg,6.499,0.632,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,24,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,2,wild,0.635,420,11_AGLO_2,29,44,8.8392,13.4112,248.501
15,IMG_4708.jpg,6.095,0.53,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,11,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,3,wild,0.659,420,11_AGLO_3,29,44,8.8392,13.4112,248.905
16,IMG_4708.jpg,6.556,0.6,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,12,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,4,wild,0.65,420,11_AGLO_4,29,44,8.8392,13.4112,248.444
17,IMG_4708.jpg,6.493,0.458,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,13,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,5,wild,0.669,420,11_AGLO_5,29,44,8.8392,13.4112,248.507
18,IMG_4708.jpg,6.582,0.24,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,33,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,6,wild,0.656,420,11_AGLO_6,29,44,8.8392,13.4112,248.418
19,IMG_4708.jpg,7.213,0.404,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,14,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,7,wild,0.666,420,11_AGLO_7,29,44,8.8392,13.4112,247.787
20,IMG_4708.jpg,6.937,0.492,02.10.2026_ESA-TUT-011_AFTER,20260210,11,1-green,29,32,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,8,wild,0.688,420,11_AGLO_8,29,44,8.8392,13.4112,248.063
1,IMG_4709.jpg,6.161,0.593,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,18,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,1,wild,0.49,420,11_AHYA_1,29,44,8.8392,13.4112,248.839
2,IMG_4709.jpg,4.509,0.428,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,16,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,2,wild,0.509,420,11_AHYA_2,29,44,8.8392,13.4112,250.49099999999999
3,IMG_4709.jpg,6.353,0.639,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,17,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,1,wild,0.634,420,11_AABR_1,29,44,8.8392,13.4112,248.647
4,IMG_4709.jpg,6.31,0.636,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,21,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,2,wild,0.551,420,11_AABR_2,29,44,8.8392,13.4112,248.69
5,IMG_4709.jpg,6.784,0.978,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,10,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,1,wild,0.343,420,11_ICRA_1,29,44,8.8392,13.4112,248.216
6,IMG_4709.jpg,6.63,0.773,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,20,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,2,wild,0.371,420,11_ICRA_2,29,44,8.8392,13.4112,248.37
7,IMG_4709.jpg,6.93,0.492,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,19,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,3,wild,0.563,420,11_ICRA_3,29,44,8.8392,13.4112,248.07
8,IMG_4709.jpg,7.411,0.478,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,29,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,4,wild,0.541,420,11_ICRA_4,29,44,8.8392,13.4112,247.589
9,IMG_4709.jpg,6.858,0.521,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,26,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,5,wild,0.341,420,11_ICRA_5,29,44,8.8392,13.4112,248.142
10,IMG_4709.jpg,6.536,1.18,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,4,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,6,wild,0.404,420,11_ICRA_6,29,44,8.8392,13.4112,248.464
11,IMG_4709.jpg,6.93,0.697,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,28,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,7,wild,0.426,420,11_ICRA_7,29,44,8.8392,13.4112,248.07
12,IMG_4709.jpg,6.877,0.691,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,27,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,8,wild,0.517,420,11_ICRA_8,29,44,8.8392,13.4112,248.123
13,IMG_4709.jpg,6.196,0.815,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,23,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,1,wild,0.493,420,11_AGLO_1,29,44,8.8392,13.4112,248.804
14,IMG_4709.jpg,5.722,0.584,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,24,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,2,wild,0.608,420,11_AGLO_2,29,44,8.8392,13.4112,249.278
15,IMG_4709.jpg,5.334,0.721,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,11,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,3,wild,0.534,420,11_AGLO_3,29,44,8.8392,13.4112,249.666
16,IMG_4709.jpg,5.604,0.588,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,12,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,4,wild,0.587,420,11_AGLO_4,29,44,8.8392,13.4112,249.396
17,IMG_4709.jpg,4.407,0.767,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,13,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,5,wild,0.386,420,11_AGLO_5,29,44,8.8392,13.4112,250.593
18,IMG_4709.jpg,6.024,0.665,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,33,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,6,wild,0.629,420,11_AGLO_6,29,44,8.8392,13.4112,248.976
19,IMG_4709.jpg,5.167,0.553,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,14,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,7,wild,0.542,420,11_AGLO_7,29,44,8.8392,13.4112,249.833
20,IMG_4709.jpg,5.597,0.745,02.10.2026_ESA-TUT-011_AFTER,20260210,11,2-blue,37,32,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,8,wild,0.458,420,11_AGLO_8,29,44,8.8392,13.4112,249.403
1,IMG_4710.jpg,6.734,0.522,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,18,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,1,wild,0.665,420,11_AHYA_1,29,44,8.8392,13.4112,248.266
2,IMG_4710.jpg,4.712,0.717,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,16,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,2,wild,0.519,420,11_AHYA_2,29,44,8.8392,13.4112,250.288
3,IMG_4710.jpg,6.93,0.459,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,17,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,1,wild,0.67,420,11_AABR_1,29,44,8.8392,13.4112,248.07
4,IMG_4710.jpg,5.584,0.706,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,21,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AABR,2,wild,0.626,420,11_AABR_2,29,44,8.8392,13.4112,249.416
5,IMG_4710.jpg,6.768,0.693,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,10,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,1,wild,0.582,420,11_ICRA_1,29,44,8.8392,13.4112,248.232
6,IMG_4710.jpg,6.503,0.391,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,20,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,2,wild,0.577,420,11_ICRA_2,29,44,8.8392,13.4112,248.497
7,IMG_4710.jpg,6.597,0.854,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,19,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,3,wild,0.605,420,11_ICRA_3,29,44,8.8392,13.4112,248.403
8,IMG_4710.jpg,6.886,0.576,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,29,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,4,wild,0.586,420,11_ICRA_4,29,44,8.8392,13.4112,248.114
9,IMG_4710.jpg,6.635,0.755,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,26,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,5,wild,0.594,420,11_ICRA_5,29,44,8.8392,13.4112,248.365
10,IMG_4710.jpg,6.849,0.692,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,4,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,6,wild,0.625,420,11_ICRA_6,29,44,8.8392,13.4112,248.151
11,IMG_4710.jpg,6.674,0.553,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,28,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,7,wild,0.578,420,11_ICRA_7,29,44,8.8392,13.4112,248.326
12,IMG_4710.jpg,6.513,0.507,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,27,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,ICRA,8,wild,0.585,420,11_ICRA_8,29,44,8.8392,13.4112,248.487
13,IMG_4710.jpg,4.787,0.96,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,23,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,1,wild,0.633,420,11_AGLO_1,29,44,8.8392,13.4112,250.213
14,IMG_4710.jpg,5.654,0.319,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,24,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,2,wild,0.586,420,11_AGLO_2,29,44,8.8392,13.4112,249.346
15,IMG_4710.jpg,6.299,0.627,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,11,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,3,wild,0.67,420,11_AGLO_3,29,44,8.8392,13.4112,248.701
16,IMG_4710.jpg,6.124,0.654,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,12,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,4,wild,0.612,420,11_AGLO_4,29,44,8.8392,13.4112,248.876
17,IMG_4710.jpg,5.58,0.745,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,13,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,5,wild,0.573,420,11_AGLO_5,29,44,8.8392,13.4112,249.42
18,IMG_4710.jpg,5.638,0.751,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,33,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,6,wild,0.651,420,11_AGLO_6,29,44,8.8392,13.4112,249.362
19,IMG_4710.jpg,5.961,0.942,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,14,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,7,wild,0.665,420,11_AGLO_7,29,44,8.8392,13.4112,249.039
20,IMG_4710.jpg,6.634,0.553,02.10.2026_ESA-TUT-011_AFTER,20260210,11,3-red,34,32,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AGLO,8,wild,0.65,420,11_AGLO_8,29,44,8.8392,13.4112,248.36599999999999
1,IMG_4711.jpg,6.568,0.635,02.10.2026_ESA-TUT-011_AFTER,20260210,11,4-yellow,35,18,ESA,TUT,ESA_TUT_11,-14.33699,-170.71101,AHYA,1,wild,0.584,420,11_AHYA_1,29,44,8.8392,13.4112,248.432
